,Title,count
2886,RESID PHYS II-VIII/REP-OV,1
304,ASSOC ADJ PROF-FY-B/E/E,1
2877,RES-LR SCL-FY,1
1657,HR GENERALIST 4 GF,1
2435,PHYS THER 3 SUPV EX,1
1150,DIRECTOR OF ACAD SUPPORT PGM,1
2630,PROVIDER ENROLLMENT PROFL 4,1
2631,PROVOST EXEC VP ACAD AFFAIRS,1
1151,DIRECTOR OF DRP,1
314,ASSOC DIR (MGT),1
2477,PLUMBER APPR,1
3348,TELESCOPE TCHN SR,1
1152,DIRECTOR OF INFORMATION TECH,1
841,CLINICAL NURSE,1
3344,TECHNICIAN ASST,1
1153,DIRECTOR OF LEOP,1
2715,QLTY IMPV HC SUPV 1,1
3052,SPIRITUAL CARE HC SPEC 4,1
1167,ECHOCARDIOGRAPHIC TCHN,1
3302,SYSWIDE BUDGET MGR 3,1
3301,SYSWIDE BUDGET MGR 2,1
1179,EDUC TCHL MGR 2,1
1603,HISTO TCHNO SUPV EX,1
378,ASST AGRON AES,1
2669,PUBL EVENTS MGR PRN SUPV,1
3298,SYSWIDE ACAD HR MGR 3,1
1945,MAINT MECH SUPV,1
2671,PUBL EVENTS MGR SR SUPV,1
2672,PUBL EVENTS MGR SUPV NEX,1
3297,SYSWIDE ACAD HR MGR 1,1
2208,OMBUDSPERSON 4 GF,1
808,CLIN PROFL SVC MGR 1,1
388,ASST PROF IN RES-AY-1/9,1
389,ASST PROF IN RES-AY-B/E/E,1
372,ASST ADJ PROF-AY-1/9-B/E/E,1
347,ASSOC PROJ SCNTST-FY-B/E/E NEX,1
3060,SR LECT SOE-AY-1/9,1
1176,EDUC FAC PLNR SR,1
2660,PUBL EDUC SUPV 1,1
825,CLIN RSCH CRD SUPV,1
3054,SPORTS AST,1
3055,SPORTS MED ATH TRAINER 3,1
2662,PUBL EQUITY INV ANL 3,1
3056,SPORTS MED ATH TRAINER SUPV 2,1
355,ASSOC RES-LR SCL-AY-1/9,1
2438,PHYS THER 5,1
357,ASSOC RES-LR SCL-FY,1
819,CLIN RSCH ANL 4 GF,1
2663,PUBL EQUITY INV DIR,1
2665,PUBL EQUITY MGR 3,1
1613,HOSP AST,1
1612,HOSP AID PD,1
816,CLIN REGIS SUPV 1,1
1606,HOME HEALTH MGR 1,1
2478,PLUMBER AST SUPV,1
754,CLIN IMG IT SPEC 3 GF,1
478,AUDITOR 3,1
592,BUS SYS ANL 3 GF,1
1290,ENTERPRISE RISK MGR 4,1
2144,NEURO TCHNO SR PD,1
2834,REGL POLICY AND INTEL MGR 2,1
691,CHILD DEV ASC SR,1
2793,RECR THER 1 EX,1
1285,ENGR SR SUPV,1
2833,REGL POLICY AND INTEL MGR 1,1
1375,FACULTY ASST TO CHANC,1
686,CHIEF FINANCIAL OFFICER,1
603,BUS TCHL SUPP MGR 3,1
685,CHI GREEN SCHOLAR-UCSD,1
684,CHF TRANSFMTN OFCR,1
606,BUS TCHL SUPP SUPV 2 GF,1
687,CHIEF INFORMATION OFFICER,1
1988,MECH SHOP SUPT SR,1
1397,FIELD VETERINARIAN 4,1
2168,NURSE ANESTHETIST SUPV 2,1
713,CIO MED CTR,1
2769,RECORDS MGR 1,1
2361,PERFUSION SUPV 2 EX,1
712,CHILD LIFE TEACHER 3,1
570,BROADCAST COMM SUPV 2,1
2770,RECORDS SUPV 1,1
572,BUDGET ANL PRN 1,1
1273,ENERGY MGT ANL 3 GF,1
574,BUDGET ANL PRN SUPV,1
2773,RECR COACH MGR 1,1
1982,MATERIALS MGT HC MGR 4,1
1279,ENGR ASC SUPV,1
1281,ENGR JR,1
1404,FIN ANL SR SUPV,1
700,CHILD DEV DEMO LECT,1
608,BUYER 1,1
682,CHF INV OFCR,1
2797,RECR THER 2 PD,1
2798,RECR THER 3 EX,1
1338,EXEC VP PHYSCN SVC VD CLIN AFF,1
641,CAREER SVC SUPV 1,1
1998,MED CTR BLDG MAINT WORKER LD,1
1997,MED CTR BLDG MAINT WORKER,1
644,CARPENTER 2,1
645,CARPENTER APPR,1
1337,EXEC VP CFO,1
1336,EXEC VP BUS OPS,1
1334,EXEC DIR MED GROUP,1
3149,STDT HEALTH DENTIST 4 PD,1
662,CASHIER OFC MGR,1
1995,MED AST 4,1
1329,EXEC AST 4 GF,1
2814,REGISTRAR COLL SUPV 1,1
3150,STDT HEALTH PHYSCN 3,1
1339,EXEC VP UC HEALTH,1
565,BROADCAST COMM MGR 1,1
667,CEMENT MASON LD,1
1343,EXHIBITIONS SUPV 2,1
614,BUYER PRN,1
2800,RECR THER PD,1
618,CAPITAL MARKETS FIN MGR 2,1
676,CHANCELLOR AND DEAN,1
620,CAPITAL MARKETS FIN OFCR 4,1
2801,RECYCLING REFUSE SVC MGR 1,1
622,CARDIOVASCULAR MGR 2,1
2146,NEURODIAGNOSTIC SVC MGR 2,1
3182,STDT RSDNC HALLS LD,1
2806,REG DENTAL AST SUPV EXTD FUNC,1
1351,FAC MGR 4,1
2811,"REGENTS"" PROF",1
2813,REGISTRAR COLL MGR 1,1
1345,FAC MAINT SUPV SR,1
1315,EVENTS SPEC 4 GF,1
1341,EXECUTIVE DIRECTOR - HR,1
564,BOTANICAL GARDEN ARBOR MGR SR,1
714,CITY AND CAMPUS FIRE CHF MGR 3,1
2766,RECORDS ANL 2 CX,1
1970,MARKETING SPEC 4 GF,1
3245,SUPPLY CHAIN MGR 2,1
2747,READER-NON STDNT/NON REP,1
743,CLIN ENGR 4,1
506,BEH HEALTH PSYCHIATRIC MGR 4,1
507,BEH HEALTH PSYCHIATRIC PROFL 1,1
2749,REAL ESTATE MGR 1,1
2355,PAYROLL SUPV 2 GF,1
1473,FOOD SVC MECH LD,1
1248,EMPLOYEE HEALTH SVC RN SUPV 2,1
513,BEHAVIORAL SVC 1,1
739,CLIN DOC SUPV 2,1
2750,REAL ESTATE MGR 2,1
1468,FOOD SVC CRD,1
1467,FLOORING INSTALLER SUPV,1
2740,RADLG TCHNO PRN SUPV,1
519,BENEFITS ANL 5,1
1482,FOOD SVC SUPV,1
3246,SUPPLY CHAIN MGR 3,1
2719,RAD THER SUPV 2,1
2721,RAD THER TCHNO CHF,1
2193,OCCUPATIONAL THER 1 SUPV,1
1242,EMERGENCY MED TCHN PD,1
3248,SUPT MGR 3,1
2131,MUSEUM SCI SR SUPV,1
1492,FUNDRAISER,1
2729,RADLG SHS SUPV 2,1
2188,NURSE-ONCALL,1
491,AV IT ENGR MGR 1,1
3247,SUPPLY CHAIN MGR 4,1
747,CLIN ENGR MGR 3,1
2010,MED CTR DEV TCHN 3,1
2841,REHAB AID 2 PD,1
744,CLIN ENGR 5,1
2967,RSDT AST SUPV,1
477,AUDITOR 2 EX,1
737,CLIN DOC SPEC 3 GF,1
522,BENEFITS MGR 3,1
724,CLIN APPLICATIONS PROFL 1,1
1444,FIRE CHF MGR 2,1
1266,EMPLOYMENT SUPV 1,1
3133,STDT ARTIST OR PERF WKSTY,1
1439,FIRE AND SCRTY SYS SUPV,1
1976,MASON AST SUPV,1
1977,MASON SUPV,1
2754,REAL ESTATE OFCR 3 GF,1
1269,ENERGY MGR 2,1
3221,STOREKEEPING SUPV 2 GF,1
1270,ENERGY MGR 3,1
556,BLDG MAINT SUPV,1
3219,STOREKEEPER SR SUPV,1
3137,STDT CLIN WKSTY,1
2360,PERFUSION SUPV 2,1
2134,MUSICIAN,1
1251,EMPLOYEE REL MGR 3,1
1454,FIXED INCOME INV OFCR,1
3122,STDT AFFAIRS OFCR 1 SUPV,1
735,CLIN DOC SPEC 2,1
1464,FLOATING LAB CREWMEMBER,1
1461,FLEET SVC MGR 1,1
526,BENEFITS PRG STRAT MGR 1,1
2450,PHYSCN NETWORK DEV MGR 2,1
528,BENEFITS PRG STRAT MGR 3,1
1256,EMPLOYEE REL SUPV 2,1
1459,FLD WK SUPV-AY,1
2358,PERF ARTS MGR 2,1
1259,EMPLOYMENT MGR 2,1
3241,STY ENGR LD,1
1260,EMPLOYMENT MGR 4,1
3238,STUDIO PROJECTIONIST AST,1
2837,REGL POLICY AND INTEL PROFL 5,1
1455,FLD PROG SUPV,1
1265,EMPLOYMENT REPR 5,1
1933,MACHINIST WORKER LD,1
1160,DOSIMETRY MGR 1,1
299,"ASSISTANT DIRECTOR, ADMIN SYS",1
2059,MED RCDS ADM,1
2993,SECR OF THE REGENTS,1
2544,PROCUREMENT MGR 3,1
1061,DATA SYS MGR 3,1
3454,VICE PROVOST ACAD PERSONNEL,1
3450,VETERINARIAN ASC PD,1
3467,VIS JR SPECIALIST,1
118,ADMIN ASSISTANT TO ACAD DEAN,1
2058,MED PHYSICS SUPV 2,1
2922,RISK MGT HC MGR 3,1
937,CONST INSP 2,1
936,CONSERVATOR 4,1
3441,VENDOR REL SPEC 1,1
935,CONCIERGE MGR 2,1
1884,LIBRARIAN-CAREER NON REP,1
3469,VIS LIBRARIAN,1
951,CONTINUING EDUCATOR II NEX,1
2926,RISK MGT HC PROFL 5,1
89,ACT/INTERIM ASSOC VICE CHANC,1
2531,PRIVATE EQUITY INV ANL 3,1
1041,CWSP - OFF CAMPUS,1
2274,PAT ACCESS SVC MGR 4,1
2532,PRIVATE EQUITY INV DIR,1
3480,VISUAL COMM SPEC 4 GF,1
3478,VISUAL COMM MGR 1,1
1899,LIBRARY MGR 2,1
3476,VIS SPECIALIST NEX,1
99,ADJ PROF-AY-1/10-BEE,1
2273,PAT ACCESS SVC MGR 3,1
1046,CYTO TCHNO SR PD,1
1820,LAB GLASSBLOWER TRAINEE,1
2989,SCRTY SUPV 2 HC,1
1052,DATA PROC PROD CRD SR,1
3439,VENDING MACH TCHN,1
88,ACT PROF-FY,1
2318,PAT REL MGR 4,1
1794,JR SPECIALIST NON REP,1
920,COMPENSATION SUPV 2,1
3425,VC AND DEAN MARINE SCI,1
3424,VC ACAD PERSONNEL,1
3423,UTILIZATION MGT MGR 2,1
1085,DECISION SUPP SPEC 3 GF,1
1770,IRRIGATION SPEC LD,1
3427,VC BUDGET AND PLNG,1
3422,UTILIZATION MGT MGR 1,1
1768,IRRIGATION MECH LD,1
2322,PAT REL SUPV 1,1
3002,SHEETMETAL WORKER SUPV,1
2048,MED LIBRARY HC PROFL 3 GF,1
1765,IP SUPV 2,1
3003,SHIP OPS SUPV 2,1
163,ADMISSIONS RECRMT SUPV 2 GF,1
1778,IT ARCHITECT MGR 3,1
3429,VC BUS DEV INNOV AND PARTNER,1
1779,IT ARCHITECT SUPV 2,1
133,ADMIN NURSE 5,1
134,ADMIN NURSE SHS PROFL 4,1
934,CONCIERGE MGR 1,1
1067,DATABASE ADM 3 GF,1
2550,PROD CNTRL MGR 1,1
1791,JR SPECIALIST (WOS),1
2551,PROD CNTRL SUPV 1,1
1071,DATATEL SYSTEMS ADMINISTRATOR,1
1072,DATATEL USER SUPPORT ANALYST,1
3431,VC COMMUNITY & GOVT REL,1
145,ADMIN SUPV 2 GF,1
852,CMPTL AND DATA SCI RSCH SUPV 2,1
2055,MED OFC SVC CRD 3 PD,1
1078,DEAN-EXTENDED LEARNING,1
923,COMPUTER OPR,1
3438,VC UNDERGRAD,1
1830,LAB PROCESSING SUPV 2 GF,1
84,ACT LECT PSOE-AY,1
83,ACT INSTR-GRAD STDNT-NON-GSHIP,1
2304,PAT NAVGTR CLIN 5,1
23,ACAD PRG MGT OFCR 3 GF,1
2972,SALES SUPV 2 GF,1
984,COUNSEL,1
1863,LECT SOE-FY,1
1012,CURATORIAL SUPV 2,1
3507,WATER AND WASTEWATER OPR APPR,1
29,ACADEMIC ADMINISTRATOR II NEX,1
2958,RSCH GNT PRG MGR 3,1
32,ACADEMIC ADMINISTRATOR IV NEX,1
979,COORD PUBLIC PROG V NON REP,1
3500,VP RSCH AND GRAD STUDIES,1
1861,LECT SOE-AY-1/9,1
3499,VP NATIONAL LAB,1
2516,PRG PROMOTION MGR 1 SUPV,1
3508,WATER DISTRIBUTION MECH 2,1
3509,WEB DEVELOPER,1
2505,POPULATION HEALTH SPEC 5,1
1,ABSOLUTE RETURNS INV ANL 3,1
2413,PHOTOGRAPHIC TCHN SR,1
1880,LEGAL SVC ADVISOR 1,1
3519,WRITTEN COMM MGR 2,1
992,CSO MED CTR,1
1879,LEGAL SUPP SPEC 4,1
1877,LEGAL SECRETARY,1
9,ACAD ACHIEVEMENT MGR 2,1
991,CSO HEAD OF HLTH AFFIL NETWORK,1
2292,PAT CARE DIALYSIS TCHN 2 PD,1
2297,PAT CASHIERING SUPV 2,1
2073,MEDIA COMM MGR 3,1
2502,POPULATION HEALTH MGR 3,1
3510,WINDOW CLEANER,1
1887,LIBRARY ASSISTANT IV,1
3498,VP IR AND ACAD PLNG,1
1859,LECT PSOE-AY-LAW,1
3497,VP HR,1
3496,VP GUEA,1
64,ACCOUNTANT SUPV 2 GF,1
2415,PHYS PLT LABORER GARDENER A,1
1845,LACTATION CONSULTANT 3 GF,1
2277,PAT ACCESS SVC SUPV 2 GF,1
68,ACCOUNTING MGR 4,1
1893,LIBRARY AST 4 SUPV,1
2526,PRIVACY AND CMPLNC HC MGR 2,1
2527,PRIVACY AND CMPLNC HC PROFL 2,1
1032,CUSTODIAN SR PD,1
75,ACQUISITIONS MGR 2,1
1896,LIBRARY BOOKBINDER PRN,1
1836,LABOR REL MGR 4,1
2065,MED STF SVC MGR 3,1
2316,PAT REL MGR 2,1
80,ACT ASST PROF-AY-1/9-B/E/E,1
1027,CUSTODIAN LEADER,1
2562,PRODUCT DEV SUPV 2,1
1846,LANDSCAPE ARCHITECT AST,1
2079,MEDIA COMM SUPV 2,1
2522,PRG REPR 3 SUPV,1
3495,VP ANR,1
45,ACADEMIC DEAN,1
46,ACADEMIC PROGRAM COORDINATOR,1
976,COORD FLD WK-FY,1
975,COORD FLD WK-AY-CONTINUING,1
3493,VOLUNTEER SVC SUPV 1,1
2973,SCANNER 1,1
51,ACCESS REPR PRN PD,1
3491,VOLUNTEER SVC MGR 2,1
53,ACCOUNTANT,1
1852,LAUNDRY MGR 1,1
2070,MED SVC DIR,1
3488,VOC REHAB SUPV 1,1
2950,RSCH CMPLNC MGR 3,1
1847,LANDSCAPE GROUNDS MGR 1,1
3411,ULTRASOUND TCHNO PRN SUPV,1
1326,EXEC ADVISOR MGR 4,1
1911,LINGUISTIC INTERPRETER SR,1
1921,LOCKSMITH 1,1
3017,SKYROOM COORDINATOR,1
2044,MED INTERPRETER SVC MGR 1,1
1111,DEV ENGR ASC SUPV,1
1133,DIETITIAN PRN SUPV,1
2585,PROFL ENGR 3 GF,1
1718,INSP PLNR EST AST,1
3033,SPECIALIST AES,1
2906,RESP THER PD,1
2621,PROSPECT RSCH MGR 2,1
1109,DESIGN AND CONST MGT SPEC 5,1
1721,INSPECTION MGR 1,1
1722,INSPECTION MGR 2,1
3386,TRAVEL MGR 1,1
890,COGEN OPR LD,1
3388,TRAVEL RESERVATIONIST 2,1
3038,SPEECH PATHOLOGIST 1,1
1724,INSTITUTIONAL RSCH ANL 1,1
1919,LOAN SVC MGR 1,1
1699,INFECTION PREVENTION CRD 2,1
3391,TREASURY ANL 2,1
281,ASC CHF INV OFCR,1
3010,SKLD CRAFTS AND TRADES SUPV 1,1
1918,LOAN SVC ANL 3,1
3393,TREASURY MGR 1,1
2890,RESID PHYS/SUBSPEC/T32/NON REP,1
2625,PROSPECT RSCH SPEC 5,1
2897,RESP CARE MGR 3,1
240,ANESTHETIST NURSE PRN,1
2100,MGR ASC,1
256,ANL 6 SUPV MSP,1
1698,INFECTION PREVENTION CRD 1,1
1928,LRNG SKLS CNSLR AST,1
1701,INFECTION PREVENTION CRD 3 GF,1
3023,SOCIAL WORK SHS MGR 1,1
1688,HVY DUTY EQUIP TCHN AST,1
254,ANL 5 SUPV,1
1127,DIETITIAN 1 NEX,1
267,ARCHITECT PRN,1
2040,MED ESTHETICIAN 3,1
252,ANL 4 SUPV,1
2616,PROJECT POLICY ANL MGR 4,1
2423,PHYS PLT SPEC,1
3021,SOCIAL WORK HC MGR 2,1
3373,TRAINING DEV MGR 3,1
2422,PHYS PLT MECH SUPV NEX,1
270,ARCHITECTURAL ASC NEX,1
246,ANGIOGRAPHY TCHNO PD,1
272,ARCHITECTURAL ASC SR,1
245,ANGIOGRAPHY TCHNO LD,1
1925,LOCKSMITH SUPV,1
1130,DIETITIAN CHF,1
2411,PHOTOGRAPHER PRN SUPV,1
881,CNSLR 3,1
2587,PROFL ENGR 5,1
3394,TREASURY MGR 2,1
3390,TRAVEL RESERVATIONIST SUPV,1
893,COLL REPR SR SUPV,1
291,ASC VP ENERGY AND SUSTAIN,1
195,AGRON AES-B/E/E-AY,1
292,ASC VP FEDERAL GOVT REL,1
1743,INTELLECTUAL PROPERTY OFCR 4,1
1137,DIGITAL COMM MGR 2,1
2247,PAINTER SUPV,1
294,ASC VP STATE GOVT REL,1
1099,DEPARTMENT VICE CHAIR,1
2249,PARALEGAL 1,1
903,COMM AND NETWORK TCHL MGR 3,1
295,ASC VP SYSWIDE CONTROLLER,1
296,ASSET ALLOC AND INV STRAT MGR3,1
1913,LOAN ORIGINATION MGR 2,1
2565,PROF IN RES-AY-1/9,1
1750,INTERVENTIONAL RADLG TCHNO LD,1
1912,LOAN ORIGINATION MGR 1,1
2913,REVENUE CYCLE HC ANL 4 GF,1
2254,PARALEGAL SPEC,1
853,CMPTL DATA SCI RSCH SPEC 3 GF,1
180,AEROSPACE ENGR 1,1
2047,MED LIBRARY HC PROFL 3,1
3005,SHUTTLE VAN DRIVER,1
1665,HR SUPV 2 GF,1
1753,INV RISK MGR 3,1
3004,SHIP SCHEDULER 3,1
175,ADV PRACTICE MGR 2,1
2090,MGD CARE MGR 3,1
1742,INTELLECTUAL PROPERTY OFCR 3,1
1741,INSULATION WORKER LD,1
293,ASC VP HS,1
290,ASC VP CSO,1
2228,OPTOMETRY SUPV 2,1
285,ASC VP ACAD PRG AND STRAT,1
212,AMBUL CARE ADMSTN CRD 4 GF,1
1731,INSTITUTIONAL RSCH MGR 3,1
286,ASC VP BUDGET AND FAC MGT,1
287,ASC VP BUS OPS ANR,1
895,COMM AND NETWORK TCHL ANL 1,1
2327,PAT SFTY PROFL 5,1
3009,SIGNMAKER SUPV AST,1
1105,DESIGN AND CONST MGR 4,1
3398,TUMOR REGISTRAR 1,1
1733,INSTRUCTIONAL DESIGN MGR 2,1
3399,TUMOR REGISTRAR 3,1
3008,SIGNMAKER LD,1
3365,TRAINER 1,1
1738,INSTRUCTIONAL DESIGNER 4 GF,1
1916,LOAN ORIGINATION OFCR 4,1
288,ASC VP CPO,1
289,ASC VP CRO,1
200,ALUMNI EXTERNAL REL MGR 4,1
1154,DISABLED STUDENTS/ADMIN ASSIST,2
1302,ETHICS AND CMPLNC PROFL 1,2
2414,PHYS PLT ADM AST,2
2894,RESIDENTIAL SVC MECH LD,2
2827,REGL AND CMPLNC HC SPEC 1,2
2454,PHYSCN SHS 4 LIMITED HOURS,2
2409,PHOTOGRAPHER,2
2031,MED CTR SCRTY OFCR PD,2
2458,PHYSCN SHS MGR 3,2
1313,EVENTS SPEC 3 GF,2
2111,MISC (STUDENT),2
2971,SALES SUPV 2,2
2960,RSCH GNT PRG OFCR 3 GF,2
1161,DOSIMETRY SUPV 2,2
977,COORD FLD WK-FY-CONTINUING,2
3049,SPIRITUAL CARE HC MGR 2,2
2149,NON EVALUATED PSS EX,2
1129,DIETITIAN 2 SUPV,2
2878,RESC MGR,2
677,CHARGE DESC ANL 3,2
1015,CURRICULUM PLNR 4,2
678,CHARGE DESC ANL 4,2
2425,PHYS PLT SUPT AST,2
1297,EQUIP OPR,2
864,CMTY HEALTH OUTR SUPV 1,2
3047,SPEECH PATHOLOGIST SR SUPV EX,2
848,CMPTL AND DATA SCI RSCH MGR 3,2
2001,MED CTR COOK AST,2
1298,EQUIP OPS ENGR,2
3148,STDT HEALTH DENTIST 4,2
2832,REGL AND CMPLNC HC SUPV 2,2
1037,CUSTOMER SVC MGR 2,2
1284,ENGR SR,2
2923,RISK MGT HC PROFL 2,2
1250,EMPLOYEE REL MGR 2,2
945,CONST PROJECT MGR PRN,2
803,CLIN OPS SHS ADM 4,2
2087,MENTAL HEALTH THER 2,2
2009,MED CTR DEV TCHN 2,2
2088,MGD CARE MGR 1,2
1062,DATA SYS MGR 4,2
1191,EEO MGR 1,2
742,CLIN ENGR 3 GF,2
797,CLIN NURSE SHS MGR 1,2
1107,DESIGN AND CONST MGT SPEC 3,2
2995,SENIOR ACCOUNTANT,2
748,CLIN ENGR SUPV 1,2
1106,DESIGN AND CONST MGT SPEC 2,2
750,CLIN IMG IT MGR 1,2
928,COMPUTER SUPPORT SPECIALIST,2
2377,PERSONNEL ANL SR SUPV,2
1104,DESIGN AND CONST MGR 3,2
3065,SR LECT-AY-1/9-CONTINUING,2
3006,SIGN MAKER SPEC,2
922,COMPUTER LAB ASSISTANT,2
1083,DECISION SUPP SPEC 2,2
2844,REHAB SVC SHS MGR 1,2
1095,DENTIST AST,2
1229,ELECTROCARDIOGRAPH TCHN,2
3001,SHEETMETAL WORKER LD,2
1222,ELECTRN APPR,2
3079,STATE GOVT REL PROFL 2,2
2992,SECOND OFCR,2
2118,MUSEUM ATTENDANT,2
1108,DESIGN AND CONST MGT SPEC 4,2
2838,REHAB AID 1,2
2140,NETWORK & SYSTEMS ENGINEER,2
1021,CUSTODIAL MGR 2,2
701,CHILD DEV DEMO LECT-CONTINUING,2
702,CHILD LIFE MGR 1,2
2069,MED STF SVC SUPV 2,2
2374,PERSONNEL ANL PRN 1 SUPV,2
3139,STDT DISABILITY MGR 2,2
710,CHILD LIFE SUPV 2,2
2029,MED CTR PARKING REPR LD,2
875,CNSLNG CTR MGR 1,2
3058,SR ADMINISTRATIVE ASSISTANT,2
2027,MED CTR LAB MECHN SR,2
966,CONTROLLER,2
965,CONTRACTS AND GRANTS SUPV 2 GF,2
2102,MGT AND PROFL PRG UNTTL,2
815,CLIN REGIS MGR 1,2
2452,PHYSCN NETWORK DEV SPEC 3 GF,2
1116,DEV ENGR SR SUPV,2
1271,ENERGY MGT ANL 2,2
779,CLIN LAB SHS SUPV 2,2
2082,MEETING ROOM CAPTAIN 3 B,2
2933,RSCH ADM 4 GF,2
959,CONTRACT ADMSTN SUPV 2,2
722,CLIN APPLICATIONS MGR 3,2
2025,MED CTR LAB MECHN HELPER,2
1186,EEG TCHNO PD,2
2835,REGL POLICY AND INTEL PROFL 3,2
886,CODER,2
2928,ROOFER LD,2
888,COGEN INSTRUMENT CNTRL TCHN,2
814,CLIN REGIS ANL 4,2
2998,SENIOR RECORDS TECHNICIAN,2
2471,PLNG SUPV 2,2
1941,MAINT B LD,2
2221,OPS ROOM SUPP AST PD,2
2333,PAT SUPP CALL CTR SUPV 2,2
309,ASSOC AGRON AES-B/E/E,2
308,ASSOC AGRON AES-AY-B/E/E,2
306,ASSOC ADJ PROF-SFT-VM,2
1935,MAIL PROCESSOR PRN,2
3354,THEATER PROD PRN SUPV,2
297,ASSISTANT DEAN (STAFF),2
280,ARTS AND LECTURES SUPV,2
1669,HS ASSOC CLIN PROF-SFT-VM,2
277,ARTIST PRN SUPV,2
2331,PAT SUPP CALL CTR MGR 1,2
3359,THEATER PROD SUPV SR EX,2
274,ART THERAPIST,2
3343,TECHNICAL SPECIALIST,2
1681,HVAC AST SUPV,2
2609,PROJECT POLICY ANL 3 GF,2
2605,PROJ SCIENTIST-FY-B/E/E NEX,2
1704,INFECTION PREVENTION MGR 1,2
1705,INFECTION PREVENTION MGR 2,2
249,ANL 2 SUPV,2
3374,TRANSIT SVC MGR 1,2
3376,TRANSIT SVC SUPV 2,2
236,ANESTHESIA TCHN LD,2
3379,TRANSLATOR TCHL,2
231,ANES OR CLIN SUPP SUPV 2,2
1719,INSP PLNR EST NEX,2
229,ANES OR CLIN SUPP MGR 1,2
1723,INSPECTION MGR 3,2
223,AMBUL CARE PAT MGR 3,2
