title,category,secondary_category,source,rule_id,confidence,original_category,needs_review,review_notes,notes,is_health,uc_cto,uc_cto_name,uc_academic_group,family,level,successor_title,next_title,n_all,n_2025,n_2020,n_2010,first_year,last_year,avg_gross_all,avg_gross_2025
ADMIN ANL SR,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,Admin Staff,,,,N,,,,ADMIN ANL,2,,,11717,4,1051,0,2012,2025,63094.0,11646.0
DIR,Staff - Management,Director / Associate / Assistant Director (staff),claude,M02,high,Admin,,,,N,,,,DIR,1,,,11188,27,700,0,2012,2025,145608.0,156808.0
REMD TUT I-NON GSHIP,Student Instruction,Reader / Tutor,claude,G02,high,Students,,,,N,456,OTHER STUDENT TITLES,Student Teaching/Research Assistants,REMD TUT I-NON GSHIP,1,,,11164,1249,787,0,2012,2025,2797.0,3610.0
LAB AST 2,Staff - Support & Operations,Research Support (staff),claude,O-ROLE,high,Research Staff,,,,N,,,,LAB AST,2,,LAB AST 3,11071,772,716,0,2012,2025,20261.0,24510.0
VOC NURSE SR,Health Care (Med Center & Clinical),Nursing,claude,H02,high,Med Center,,,,Y,,,,VOC NURSE,2,,,10894,1142,801,0,2012,2025,63146.0,77421.0
LAB AST 1,Staff - Support & Operations,Research Support (staff),claude,O-ROLE,high,Research Staff,,,,N,,,,LAB AST,1,,LAB AST 2,10886,571,656,0,2012,2025,11792.0,15987.0
BLANK AST 1,Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,high,Staff,,,,N,,,,BLANK AST,1,,BLANK AST 2,10506,523,520,0,2012,2025,20376.0,23072.0
FOOD SVC WORKER,Staff - Support & Operations,"Custodial, Food, Housing & Hospitality",claude,O-ROLE,high,Staff,,,,N,,,,FOOD SVC WORKER,1,,FOOD SVC WORKER SR,10505,834,708,0,2012,2025,23506.0,31657.0
NURSE PRACT 2,Health Care (Med Center & Clinical),Physician / Advanced Practice Provider (staff),claude,H02,high,Staff,,,,Y,,,,NURSE PRACT,2,,NURSE PRACT 3,10449,1421,1013,0,2016,2025,165677.0,209436.0
CLIN LAB SCI,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,Staff,,,,Y,,,,CLIN LAB SCI,1,,,10324,914,720,0,2012,2025,108449.0,142046.0
TEACHER-UNEX,Other Academic,University Extension (UNEX) teacher / staff,claude,A05,high,Acad Staff,,,"CTO 828; by-agreement Extension instructors, not Unit 18",N,828,UNIVERSITY EXTENSION-OTHER,Other Academic Employees,TEACHER-UNEX,1,,,10213,496,718,0,2012,2025,13546.0,11032.0
SPECIALIST,Academic Research,Specialist (research series),claude,R04,high,Research,,,"Academic Specialist series (CTO 551/557), not Career Tracks 'SPEC'",N,,,,SPECIALIST,3,,,10078,727,546,696,2010,2025,79061.0,101648.0
RESID PHYS/SUBSPEC 4-8/NON REP,Health Care (Med Center & Clinical),Medical Intern / Resident,claude,H01,high,,,,CTO 446,Y,446,INTERN OR RESIDENT,Medical Interns/Residents,RESID PHYS/SUBSPEC 4-8,3,,,9872,1,255,0,2012,2025,47607.0,0.0
RESID PHYS I/NON REP,Health Care (Med Center & Clinical),Medical Intern / Resident,claude,H01,high,,,,CTO 446,Y,446,INTERN OR RESIDENT,Medical Interns/Residents,RESID PHYS,1,,,9785,8,571,0,2012,2025,36508.0,65340.0
_____ASSISTANT II,Staff - Support & Operations,"Administration, Analysis & Clerical",claude,O-ROLE,medium,,,,,N,,,,BLANK AST,2,BLANK AST 2,_____ASSISTANT III,9649,0,0,4960,2010,2011,26259.0,
RECR PRG INSTR 2,Staff - Support & Operations,"Recreation, Child Care & Camps",claude,P03,high,Staff,,,Mostly part-time / seasonal,N,,,,RECR PRG INSTR,2,,RECR PRG INSTR 3,9618,1429,630,0,2016,2025,5238.0,5044.0
PROF OF CLIN-HCOMP,Senate Faculty,Professor of Clinical X (Senate; health sciences),claude,F06,high,Senate,,,Senate members per Standing Order 105.1(a); UC reporting groups them with clinical faculty (uc_academic_group),Y,317,PROFESSOR OF CLINICAL __________,Faculty - Clinical/In-Residence/Adjunct,PROF OF CLIN-HCOMP,3,,,9394,906,665,0,2012,2025,406214.0,504765.0
RESID PHYS I/REP,Health Care (Med Center & Clinical),Medical Intern / Resident,claude,H01,high,Med Center,,,CTO 446,Y,446,INTERN OR RESIDENT,Medical Interns/Residents,RESID PHYS,1,,,9325,1109,1428,0,2012,2025,44516.0,46972.0
GRAD STDNT RES-FULL FEE REM,Student Research,Graduate Student Researcher,claude,G04,high,,,,,N,,,,GRAD STDNT RES-FULL FEE REM,1,,,9211,0,0,4558,2010,2012,17928.0,
CUSTODIAN,Staff - Support & Operations,"Custodial, Food, Housing & Hospitality",claude,O-ROLE,high,Staff,,,,N,,,,CUSTODIAN,1,,CUSTODIAN SR,9153,642,659,279,2010,2025,33393.0,46723.0
RECREATION PRG INSTR,Staff - Support & Operations,"Recreation, Child Care & Camps",claude,P03,high,,,,Mostly part-time / seasonal,N,,,,RECR PRG INSTR,1,RECR PRG INSTR,RECREATION PRG INSTR 2,9064,0,0,0,2012,2015,3102.0,
RESID PHYS/SUBSPEC 4-8/REP,Health Care (Med Center & Clinical),Medical Intern / Resident,claude,H01,high,Med Center,,,CTO 446,Y,446,INTERN OR RESIDENT,Medical Interns/Residents,RESID PHYS/SUBSPEC 4-8,3,,,9054,1646,1207,0,2019,2025,70139.0,78965.0
HS CLIN INSTR-HCOMP,Non-Senate Faculty,Health Sciences Clinical Professor / Instructor,claude,F05,high,Non-Senate,,,,Y,341,HEALTH SCIENCES CLINICAL PROFESSOR,Faculty - Clinical/In-Residence/Adjunct,HS CLIN PROF-HCOMP,0,,HS ASST CLIN PROF-HCOMP,8977,638,711,0,2012,2025,115998.0,130536.0
PROGR ANL 3,Staff - Professional & Supervisory,Information Technology,claude,P-ROLE,high,Staff,,,,N,,,,PROGR ANL,3,,PROGR ANL 4,8931,0,510,0,2012,2024,73618.0,
LECT IN SUMMER SESSION,Lecturers (Unit 18),Summer Session Lecturer,claude,L03,high,Unit 18,,,CTO 357; Unit 18 since the 2022 MOU,N,357,INSTRUCTIONAL ASSISTANT,Faculty - Lecturers,LECT IN SUMMER SESSION,1,,,8783,507,558,0,2012,2025,18317.0,10569.0
TEACHG FELLOW-GSHIP,Student Instruction,Teaching Assistant / Fellow,claude,G01,high,Student Instruction,,,,N,426,TEACHING ASSISTANT & EQUIVALENT,Student Teaching/Research Assistants,TEACHG FELLOW-GSHIP,1,,,8744,664,542,0,2012,2025,22078.0,34330.0
SRA 2,Staff - Professional & Supervisory,Research Support (staff),claude,P02,high,Staff,,,Staff Research Associate series,N,,,,SRA,2,,SRA 3,8621,293,306,0,2012,2025,40254.0,54627.0
STDT 1 WORK STUDY,Students,Student Assistant,claude,G05,high,,,,,N,,,,STDT,1,,,8456,0,0,0,2012,2016,2350.0,
ASC PHYSCN,Health Care (Med Center & Clinical),Physician / Advanced Practice Provider (staff),claude,H02,high,Med Center,,,,Y,,,,ASC PHYSCN,1,,,8254,523,597,0,2012,2025,133917.0,157183.0
ASSOC SPECIALIST,Academic Research,Specialist (research series),claude,R04,high,Research,,,"Academic Specialist series (CTO 551/557), not Career Tracks 'SPEC'",N,,,,SPECIALIST,2,,SPECIALIST,7999,428,485,0,2012,2025,50042.0,68210.0
STDT 1 NON UC,Students,Student Assistant,claude,G05,high,Students,,,,N,,,,STDT,1,,,7811,620,388,0,2014,2025,2281.0,2397.0
RECALL FACULTY,Senate Faculty,Recall (retired faculty),claude,F03,high,Senate,,,,N,012,PROFESSORIAL-RECALL,Faculty - Ladder-rank and Equivalent,RECALL FACULTY,1,,,7792,776,650,0,2014,2025,50943.0,51440.0
PAT COMM REPR,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,,,,,Y,,,,PAT COMM REPR,1,,,7753,1111,746,0,2016,2025,49436.0,67788.0
PROF IN RES-HCOMP,Senate Faculty,Professor In Residence (Senate; health sciences),claude,F07,high,Senate,,,Senate members per Standing Order 105.1(a); UC reporting groups them with clinical faculty (uc_academic_group),Y,311,PROFESSOR IN RESIDENCE,Faculty - Clinical/In-Residence/Adjunct,PROF IN RES-HCOMP,3,,,7742,613,539,0,2012,2025,279568.0,358062.0
HOSP BLANK AST 2,Health Care (Med Center & Clinical),Hospital Support & Patient Services,claude,H02,high,Staff,,,,Y,,,,HOSP BLANK AST,2,,HOSP BLANK AST 3,7605,897,546,0,2012,2025,45970.0,57344.0
RSCH ADM 3,Staff - Professional & Supervisory,Research Support (staff),claude,P-ROLE,high,Research Staff,,,,N,,,,RSCH ADM,3,,RSCH ADM 4,7491,212,644,0,2012,2025,69217.0,64857.0
GRAD STDNT RES-PARTIAL FEE REM,Student Research,Graduate Student Researcher,claude,G04,high,,,,,N,,,,GRAD STDNT RES-PARTIAL FEE REM,1,,,7329,0,0,3617,2010,2011,15616.0,
MED AST 2,Health Care (Med Center & Clinical),Allied Health & Clinical Technical,claude,H02,high,Med Center,,,,Y,,,,MED AST,2,,MED AST 3,7304,790,547,0,2012,2025,45785.0,55416.0
ASST SPECIALIST,Academic Research,Specialist (research series),claude,R04,high,Research,,,"Academic Specialist series (CTO 551/557), not Career Tracks 'SPEC'",N,,,,SPECIALIST,1,,ASSOC SPECIALIST,7226,642,350,0,2012,2025,35863.0,49338.0
LECT-AY-1/10,Lecturers (Unit 18),Lecturer (Pre-Six),claude,L05,high,Unit 18,,,,N,225,LECTURER,Faculty - Lecturers,LECT-AY,1,,LECT-AY-1/10-CONTINUING,7141,695,739,0,2016,2025,13304.0,12363.0
STDT RESEARCHER,Student Research,Graduate Student Researcher,claude,G04,high,Students,,,,N,,,,STDT RESEARCHER,1,,,7125,596,505,0,2013,2025,3958.0,3715.0
PAT BILLER 3,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,,,,,Y,,,,PAT BILLER,3,,PAT BILLER 4,7098,784,683,0,2016,2025,59505.0,74149.0
PROJECT POLICY ANL 3,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,Staff,,,,N,,,,PROJECT POLICY ANL,3,,PROJECT POLICY ANL 4,7074,418,584,0,2012,2025,68313.0,70567.0
ADMIN OFCR 2,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,Admin Staff,,,,N,,,,ADMIN OFCR,2,,ADMIN OFCR 3,7059,24,1090,0,2012,2025,52858.0,68647.0
RECR PRG INSTR,Staff - Support & Operations,"Recreation, Child Care & Camps",claude,P03,high,,,,Mostly part-time / seasonal,N,,,,RECR PRG INSTR,1,,RECR PRG INSTR 2,6919,16,418,0,2016,2025,3325.0,7164.0
TEACHER-UNIV.EXT.-CONTRACT YR.,Other Academic,University Extension (UNEX) teacher / staff,claude,X-SUCCESSOR,medium,,,,inherited from successor title 'TEACHER-UNEX-CONTRACT YR' (A05),N,,,,TEACHER-UNEX-CONTRACT YR,1,TEACHER-UNEX-CONTRACT YR,,6878,0,0,3430,2010,2011,7305.0,
STDT AFFAIRS OFCR 2,Staff - Professional & Supervisory,Student Services,claude,P-ROLE,high,,,,,N,,,,STDT AFFAIRS OFCR,2,,STDT AFFAIRS OFCR 3 EX,6808,0,372,0,2012,2023,42087.0,
RESC NURSE PD,Health Care (Med Center & Clinical),Nursing,claude,H02,high,Med Center,,,,Y,,,,RESC NURSE,3,,,6789,675,509,0,2012,2025,75822.0,112808.0
PROJECT POLICY ANL 2,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,Staff,,,,N,,,,PROJECT POLICY ANL,2,,PROJECT POLICY ANL 3,6786,921,523,0,2012,2025,50314.0,62727.0
COOK,Staff - Support & Operations,"Custodial, Food, Housing & Hospitality",claude,O-ROLE,high,Staff,,,,N,,,,COOK,1,,COOK SR,6761,625,388,304,2010,2025,32187.0,43662.0
ADMIN OFCR 3,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,Admin Staff,,,,N,,,,ADMIN OFCR,3,,ADMIN OFCR 4,6741,314,592,0,2012,2025,79923.0,88644.0
CLIN RSCH CRD AST,Health Care (Med Center & Clinical),Clinical Research Staff,claude,H02,high,Med Center,,,,Y,,,,CLIN RSCH CRD,0,,CLIN RSCH CRD,6677,730,554,0,2012,2025,34473.0,42117.0
ADMISSIONS EVALUATOR 3,Staff - Professional & Supervisory,Student Services,claude,P-ROLE,high,Staff,,,,N,,,,ADMISSIONS EVALUATOR,3,,,6667,1316,376,0,2012,2025,3809.0,3642.0
APPLICATIONS PROGR 3,Staff - Professional & Supervisory,Information Technology,claude,P-ROLE,high,Staff,,,,N,,,,APPLICATIONS PROGR,3,,APPLICATIONS PROGR 4,6603,639,534,0,2012,2025,84479.0,98719.0
ASST PROF-AY-B/E/E,Senate Faculty,Ladder Rank (Professor series),claude,F15,high,Senate,,,,N,011,PROFESSORIAL-NON-TENURE,Faculty - Ladder-rank and Equivalent,PROF-AY-B/E/E,1,,ASSOC PROF-AY-B/E/E,6589,525,591,0,2012,2025,161533.0,196815.0
FOOD SVC WORKER SR,Staff - Support & Operations,"Custodial, Food, Housing & Hospitality",claude,O-ROLE,high,Staff,,,,N,,,,FOOD SVC WORKER,2,,FOOD SVC WORKER PRN,6559,494,384,0,2012,2025,31196.0,44219.0
PRACTICE CRD 3,Health Care (Med Center & Clinical),"Health Administration, Billing & Records",claude,H02,high,,,,,Y,,,,PRACTICE CRD,3,,,6558,1309,449,0,2016,2025,66183.0,78395.0
PROFESSOR - ACADEMIC YEAR,Senate Faculty,Ladder Rank (Professor series),claude,F15,high,,,,,N,,,,PROF-AY,3,PROF-AY,,6486,0,0,3246,2010,2011,143059.0,
ADMIN OFCR 2 CX,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,,,,,N,,,,ADMIN OFCR,2,,ADMIN OFCR 3,6445,1788,0,0,2022,2025,70756.0,79574.0
ADMIN ANL PRN 1,Staff - Professional & Supervisory,"Administration, Analysis & Clerical",claude,P-ROLE,high,Admin Staff,,,,N,,,,ADMIN ANL PRN,1,,ADMIN ANL PRN 2,6328,4,601,0,2012,2025,76609.0,82128.0
