from_title,to_title,relation,confidence,n_moves,share_of_moves,years,from_last_year,to_first_year,from_family,from_level,to_family,to_level,source
HS CLIN INSTR-HCOMP,HS ASST CLIN PROF-HCOMP,promotion,high,1256,0.615,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,HS CLIN PROF-HCOMP,0,HS CLIN PROF-HCOMP,1,claude
"ANALYST, ADMINISTRATIVE",ADMIN ANL,rename,high,1163,0.74,2012,2011,2012,"ANALYST, ADMINISTRATIVE",1,ADMIN ANL,1,claude
ASSOCIATE PROFESSOR-ACAD YR,ASSOC PROF-AY,rename,high,1154,0.795,2012,2011,2012,PROFESSOR-ACAD YR,2,PROF-AY,2,claude
PROGRAMMER/ANALYST III,PROGR ANL 3,rename,high,1124,0.843,2012,2011,2012,PROGRAMMER/ANALYST,3,PROGR ANL,3,claude
MANAGER (FUNCTIONAL AREA),MGR,rename,high,1123,0.863,2012,2011,2012,MANAGER (FUNCTIONAL AREA),1,MGR,1,claude
LECT-AY-1/9,LECT-AY,lateral,medium,1119,0.357,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,LECT-AY,1,LECT-AY,1,claude
SRA 1,SRA 2 NEX,promotion,high,1074,0.484,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,SRA,1,SRA,2,claude
LECT-AY,LECT-AY-CONTINUING,promotion,high,1071,0.404,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,LECT-AY,1,LECT-AY,2,claude
PROFESSOR-ACAD YR-BUS/ECON/ENG,PROF-AY-B/E/E,rename,high,1018,0.954,2012,2011,2012,PROFESSOR-ACAD YR-BUS/ECON/ENG,3,PROF-AY-B/E/E,3,claude
STAFF RESEARCH ASSOC I,SRA 1,rename,high,1001,0.718,2012,2011,2012,STAFF RESEARCH ASSOC,1,SRA,1,claude
PROFESSOR-HCOMP,PROF-HCOMP,rename,high,970,0.934,2012,2011,2012,PROFESSOR-HCOMP,3,PROF-HCOMP,3,claude
RECREATION PRG INSTR,RECR PRG INSTR,rename,high,946,0.806,2016,2015,2016,RECREATION PRG INSTR,1,RECR PRG INSTR,1,claude
RECREATION PROGRAM INSTRUCTOR,RECREATION PRG INSTR,rename,high,933,0.911,2012,2011,2012,RECREATION PROGRAM INSTRUCTOR,1,RECREATION PRG INSTR,1,claude
"NURSE, PER DIEM",NURSE PD,rename,high,929,0.761,2012,2011,2012,"NURSE, PER DIEM",1,NURSE,1,claude
STAFF RES ASSOC II-NONEXEMPT,SRA 2 NEX,rename,high,922,0.838,2012,2011,2012,STAFF RES ASSOC II-NONEXEMPT,1,SRA,2,claude
POSTDOC-EMPLOYEE,POSTDOC-FELLOW,other,low,918,0.12,2012|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,POSTDOC-EMPLOYEE,1,POSTDOC-FELLOW,1,claude
STAFF RESEARCH ASSOC III,SRA 3,rename,high,888,0.883,2012,2011,2012,STAFF RESEARCH ASSOC,3,SRA,3,claude
"ANALYST, ADMINISTRATIVE, SR",ADMIN ANL SR,rename,high,881,0.771,2012,2011,2012,"ANALYST, ADMINISTRATIVE",2,ADMIN ANL,2,claude
STAFF RESEARCH ASSOC II,SRA 2,rename,high,860,0.819,2012,2011,2012,STAFF RESEARCH ASSOC,2,SRA,2,claude
RESID PHYS II-VIII/NON REP,RESID PHYS II-VIII/REP,variant,high,856,0.586,2020|2021|2022|2023,2025,2012,RESID PHYS II,8,RESID PHYS II,8,claude
ADMIN OFCR 2,ADMIN OFCR 2 CX,variant,high,851,0.542,2022|2023|2024,2025,2022,ADMIN OFCR,2,ADMIN OFCR,2,claude
ADMIN SPEC,ADMIN ANL,other,low,805,0.211,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2025,2012,ADMIN SPEC,1,ADMIN ANL,1,claude
ANALYST II,ANL 2,rename,high,786,0.7,2012,2011,2012,ANALYST,2,ANL,2,claude
POSTDOC-FELLOW,POSTDOC-EMPLOYEE,other,low,767,0.766,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2010,POSTDOC-FELLOW,1,POSTDOC-EMPLOYEE,1,claude
ANALYST I,ANL 1,rename,high,760,0.708,2012,2011,2012,ANALYST,1,ANL,1,claude
PROGRAMMER/ANALYST II,PROGR ANL 2,rename,high,754,0.784,2012,2011,2012,PROGRAMMER/ANALYST,2,PROGR ANL,2,claude
LECTURER-AY-CONTINUING APPT.,LECT-AY-CONTINUING,rename,high,744,0.895,2012,2011,2012,LECTURER-AY-CONTINUING APPT.,1,LECT-AY,2,claude
HS ASSISTANT CLIN PROF-HCOMP,HS ASST CLIN PROF-HCOMP,rename,high,729,0.725,2012,2011,2012,HS CLIN PROF-HCOMP,1,HS CLIN PROF-HCOMP,1,claude
ASST PROF-AY-B/E/E,ASSOC PROF-AY-B/E/E,promotion,high,711,0.944,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,PROF-AY-B/E/E,1,PROF-AY-B/E/E,2,claude
_____ASSISTANT I,BLANK AST 1,rename,high,710,0.716,2012,2011,2012,_____ASSISTANT,1,BLANK AST,1,claude
LECTURER - ACADEMIC YEAR - 1/9,LECT-AY-1/9,rename,high,698,0.63,2012|2013,2012,2012,LECTURER - ACADEMIC YEAR - 1/9,1,LECT-AY,1,claude
"____ASSISTANT, HOSPITAL, III",HOSP BLANK AST 3,rename,high,671,0.881,2012,2011,2012,"____ASSISTANT, HOSPITAL",3,HOSP BLANK AST,3,claude
RSCH ADM 3,RSCH ADM 3 RP,variant,high,664,0.44,2025,2025,2025,RSCH ADM,3,RSCH ADM,3,claude
ASSISTANT PROFESSOR-ACAD YR,ASST PROF-AY,rename,high,663,0.654,2012,2011,2012,PROFESSOR-ACAD YR,1,PROF-AY,1,claude
CLIN RSCH CRD AST,CLIN RSCH CRD,promotion,high,663,0.781,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,CLIN RSCH CRD,0,CLIN RSCH CRD,1,claude
PROGRAMMER/ANALYST IV,PROGR ANL 4,rename,high,656,0.879,2012,2011,2012,PROGRAMMER/ANALYST,4,PROGR ANL,4,claude
"CUSTODIAN, SENIOR, MC",MED CTR CUSTODIAN SR,rename,high,646,0.966,2012,2011,2012,CUSTODIAN,2,MED CTR CUSTODIAN,2,claude
ADMIN OFCR 3,ADMIN OFCR 3 CX,variant,high,623,0.507,2025,2025,2025,ADMIN OFCR,3,ADMIN OFCR,3,claude
RESID PHYS II-VIII/REP,RESID PHYS/SUBSPEC 4-8/REP,other,low,618,0.32,2020|2021|2022|2023|2024|2025,2025,2019,RESID PHYS II,8,RESID PHYS/SUBSPEC 4-8,3,claude
STUDENT AFFAIRS OFFICER II,STDT AFFAIRS OFCR 2,rename,high,606,0.734,2012,2011,2012,STUDENT AFFAIRS OFFICER,2,STDT AFFAIRS OFCR,2,claude
ADMIN ANL,ADMIN ANL SR,promotion,high,605,0.206,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2025,2012,ADMIN ANL,1,ADMIN ANL,2,claude
RESID PHYS I/NON REP,RESID PHYS II-VIII/NON REP,other,low,603,0.468,2019|2020|2021|2022|2023|2025,2025,2012,RESID PHYS,1,RESID PHYS II,8,claude
TEACHER - UNIV. EXTENSION,TEACHER-UNEX,rename,high,590,0.949,2012,2011,2012,TEACHER - UNIV. EXTENSION,1,TEACHER-UNEX,1,claude
"SCIENTIST, CLINICAL LAB",CLIN LAB SCI,rename,high,571,0.901,2012,2011,2012,"SCIENTIST, CLINICAL LAB",1,CLIN LAB SCI,1,claude
ANALYST III,ANL 3,rename,high,570,0.699,2012,2011,2012,ANALYST,3,ANL,3,claude
HS CLINICAL PROFESSOR-HCOMP,HS CLIN PROF-HCOMP,rename,high,566,0.934,2012,2011,2012,HS CLINICAL PROFESSOR-HCOMP,3,HS CLIN PROF-HCOMP,3,claude
JUNIOR SPECIALIST,JR SPECIALIST,lateral,medium,558,0.663,2012,2012,2012,SPECIALIST,0,SPECIALIST,0,claude
PROJECT POLICY ANL 3,PROJECT POLICY ANL 3 RP,variant,high,557,0.459,2025,2025,2025,PROJECT POLICY ANL,3,PROJECT POLICY ANL,3,claude
JR SPECIALIST,ASST SPECIALIST,promotion,high,553,0.391,2013|2014|2015|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,SPECIALIST,0,SPECIALIST,1,claude
ASSOC PROF-AY-B/E/E,PROF-AY-B/E/E,promotion,high,549,0.878,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,PROF-AY-B/E/E,2,PROF-AY-B/E/E,3,claude
FOOD SERVICE WORKER,FOOD SVC WORKER,rename,high,531,0.851,2012,2011,2012,FOOD SERVICE WORKER,1,FOOD SVC WORKER,1,claude
LECT-AY-1/9,LECT IN SUMMER SESSION,other,low,530,0.169,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,LECT-AY,1,LECT IN SUMMER SESSION,1,claude
ASSOCIATE SPECIALIST,ASSOC SPECIALIST,rename,high,529,0.811,2012,2011,2012,SPECIALIST,2,SPECIALIST,2,claude
ASSOC PROF OF CLIN-HCOMP,PROF OF CLIN-HCOMP,promotion,high,521,0.86,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,PROF OF CLIN-HCOMP,2,PROF OF CLIN-HCOMP,3,claude
ASST RES ----- - FISCAL YEAR,ASST RES-FY,rename,high,518,0.78,2012,2011,2012,RES ----- - FISCAL YEAR,1,RES-FY,1,claude
LECTURER - ACADEMIC YEAR,LECT-AY,other,low,505,0.608,2012,2012,2012,LECTURER - ACADEMIC YEAR,1,LECT-AY,1,claude
PATIENT BILLER 3,PAT BILLER 3,rename,high,504,0.86,2016,2015,2016,PATIENT BILLER,3,PAT BILLER,3,claude
HS ASSOCIATE CLIN PROF-HCOMP,HS ASSOC CLIN PROF-HCOMP,rename,high,501,0.739,2012,2011,2012,HS CLIN PROF-HCOMP,2,HS CLIN PROF-HCOMP,2,claude
SRA 2 NEX,SRA 3,promotion,high,495,0.387,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,SRA,2,SRA,3,claude
"ANALYST, ADMINISTRATIVE,PRIN I",ADMIN ANL PRN 1,rename,high,489,0.782,2012,2011,2012,"ANALYST, ADMINISTRATIVE,PRIN",1,ADMIN ANL PRN,1,claude
ASST PROJ SCIENTIST-FY,ASSOC PROJ SCIENTIST-FY,promotion,high,484,0.45,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,PROJ SCIENTIST-FY,1,PROJ SCIENTIST-FY,2,claude
PROFESSOR IN RESIDENCE-HCOMP,PROF IN RES-HCOMP,rename,high,480,0.921,2012,2011,2012,PROFESSOR IN RESIDENCE-HCOMP,3,PROF IN RES-HCOMP,3,claude
ANALYST IV,ANL 4,rename,high,478,0.695,2012|2013,2012,2012,ANALYST,4,ANL,4,claude
NURSE PRACTITIONER 2,NURSE PRACT 2,rename,high,478,0.761,2016,2015,2016,NURSE PRACTITIONER,2,NURSE PRACT,2,claude
LECT IN SUMMER SESSION,LECT-AY-1/9,other,low,477,0.343,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,LECT IN SUMMER SESSION,1,LECT-AY,1,claude
ASST PROJECT_____-FISCAL YEAR,ASST PROJ SCIENTIST-FY,rename,high,467,0.792,2012,2011,2012,PROJECT_____-FISCAL YEAR,1,PROJ SCIENTIST-FY,1,claude
HOSP AST 3 PD,HOSP BLANK AST 3,other,low,467,0.732,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,HOSP AST,3,HOSP BLANK AST,3,claude
ADMIN/COORD/OFFICER(FUNC AREA),ADM CRD OFCR,rename,high,461,0.799,2012,2011,2012,ADMIN/COORD/OFFICER(FUNC AREA),1,ADM CRD OFCR,1,claude
PRACTICE CRD 2,PRACTICE CRD 3,promotion,high,455,0.784,2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2016,PRACTICE CRD,2,PRACTICE CRD,3,claude
STUDENT AFFAIRS OFFICER I,STDT AFFAIRS OFCR 1,rename,high,454,0.731,2012,2011,2012,STUDENT AFFAIRS OFFICER,1,STDT AFFAIRS OFCR,1,claude
LECT-AY,LECT-AY-1/9,lateral,medium,446,0.168,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,LECT-AY,1,LECT-AY,1,claude
ADMIN SPEC,BLANK AST 3,other,low,438,0.115,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2025,2012,ADMIN SPEC,1,BLANK AST,3,claude
ASSO PHYSICIAN DIPLOMATE,ASC PHYSCN DIPLOMATE,rename,high,430,0.829,2012,2011,2012,ASSO PHYSICIAN DIPLOMATE,1,ASC PHYSCN DIPLOMATE,1,claude
PROFESSOR OF CLINICAL___-HCOMP,PROF OF CLIN-HCOMP,rename,high,427,0.93,2012,2011,2012,PROFESSOR OF CLINICAL___-HCOMP,3,PROF OF CLIN-HCOMP,3,claude
RSCH ADM 3,RSCH ADM 4,promotion,high,425,0.282,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,RSCH ADM,3,RSCH ADM,4,claude
BLANK AST 1,BLANK AST 2,promotion,high,420,0.4,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,BLANK AST,1,BLANK AST,2,claude
FINANCIAL SVC ANL 2,FINANCIAL SVC ANL 2 CX,variant,high,417,0.48,2024|2025,2025,2024,FINANCIAL SVC ANL,2,FINANCIAL SVC ANL,2,claude
ASST PROF OF CLIN-HCOMP,ASSOC PROF OF CLIN-HCOMP,promotion,high,414,0.845,2013|2014|2015|2016|2017|2018|2019|2021|2022|2023|2024|2025,2025,2012,PROF OF CLIN-HCOMP,1,PROF OF CLIN-HCOMP,2,claude
_____ASSISTANT II,_____ASSISTANT III,promotion,medium,402,0.095,2011,2011,2010,_____ASSISTANT,2,_____ASSISTANT,3,claude
SRA 1,SRA 2,promotion,medium,400,0.18,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,SRA,1,SRA,2,claude
"BILLER, PATIENT III",PATIENT BILLER 3,rename,high,398,0.928,2012,2011,2012,"BILLER, PATIENT",3,PATIENT BILLER,3,claude
PROGRAM REPRESENTATIVE II,PRG REPR 2,rename,high,397,0.825,2012,2011,2012,PROGRAM REPRESENTATIVE,2,PRG REPR,2,claude
ASSOC SPECIALIST,SPECIALIST,promotion,high,393,0.507,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2010,SPECIALIST,2,SPECIALIST,3,claude
LECT-AY,LECT IN SUMMER SESSION,other,low,393,0.148,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,LECT-AY,1,LECT IN SUMMER SESSION,1,claude
ASSOC PROF IN RES-HCOMP,PROF IN RES-HCOMP,promotion,high,391,0.719,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,PROF IN RES-HCOMP,2,PROF IN RES-HCOMP,3,claude
ASC PHYSCN,ASC PHYSCN DIPLOMATE,other,low,386,0.426,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,ASC PHYSCN,1,ASC PHYSCN DIPLOMATE,1,claude
ANALYST V,ANL 5,rename,high,379,0.727,2012,2011,2012,ANALYST,5,ANL,5,claude
NURSE PRACTITIONER II,NURSE PRACTITIONER 2,rename,high,378,0.929,2012,2011,2012,NURSE PRACTITIONER,2,NURSE PRACTITIONER,2,claude
CLIN RSCH CRD,CLIN RSCH CRD SR NEX,promotion,high,375,0.444,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,CLIN RSCH CRD,1,CLIN RSCH CRD,2,claude
FINANCIAL ANL 3,FINANCIAL ANL 3 CX,variant,high,374,0.454,2025,2025,2025,FINANCIAL ANL,3,FINANCIAL ANL,3,claude
RESID PHYS I/NON REP,RESID PHYS II-VIII/REP,other,low,368,0.286,2020|2021|2022|2023,2025,2012,RESID PHYS,1,RESID PHYS II,8,claude
RSCH ADM 2,RSCH ADM 3,promotion,high,366,0.5,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,RSCH ADM,2,RSCH ADM,3,claude
ASSOC PROF-HCOMP,PROF-HCOMP,promotion,high,362,0.832,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,PROF-HCOMP,2,PROF-HCOMP,3,claude
ASST PROF IN RES-HCOMP,ASSOC PROF IN RES-HCOMP,promotion,high,359,0.664,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,PROF IN RES-HCOMP,1,PROF IN RES-HCOMP,2,claude
RSCH ADM 4,RSCH ADM 4 RP,variant,high,358,0.628,2025,2025,2025,RSCH ADM,4,RSCH ADM,4,claude
MED CTR CUSTODIAN SR PD,MED CTR CUSTODIAN SR,variant,high,354,0.747,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,MED CTR CUSTODIAN,2,MED CTR CUSTODIAN,2,claude
LABORATORY ASST II,LAB AST 2,rename,high,353,0.712,2012,2011,2012,LABORATORY ASST,2,LAB AST,2,claude
ASSISTANT SPECIALIST,ASST SPECIALIST,rename,high,349,0.698,2012,2011,2012,SPECIALIST,1,SPECIALIST,1,claude
MED OFC SVC CRD 2,MED OFC SVC CRD 3,promotion,high,349,0.66,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,MED OFC SVC CRD,2,MED OFC SVC CRD,3,claude
ASST ADJ PROF-HCOMP,ASSOC ADJ PROF-HCOMP,promotion,high,348,0.452,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,ADJ PROF-HCOMP,1,ADJ PROF-HCOMP,2,claude
"NURSE, VOCATIONAL, SR",VOC NURSE SR,rename,high,346,0.953,2012,2011,2012,"NURSE, VOCATIONAL",2,VOC NURSE,2,claude
ANL 1,ANL 2,promotion,high,345,0.225,2013|2014|2015|2016|2017,2025,2012,ANL,1,ANL,2,claude
STUDENT AFF. OFFICER III,STDT AFFAIRS OFCR 3 EX,rename,high,344,0.635,2012,2011,2012,STUDENT AFF. OFFICER,3,STDT AFFAIRS OFCR,3,claude
ASSISTANT ADJUNCT PROF-HCOMP,ASST ADJ PROF-HCOMP,rename,high,340,0.714,2012,2011,2012,ADJUNCT PROF-HCOMP,1,ADJ PROF-HCOMP,1,claude
RESID PHYS/SUBSPEC 4-8/NON REP,RESID PHYS/SUBSPEC 4-8/REP,variant,high,340,0.728,2020|2022,2025,2019,RESID PHYS/SUBSPEC 4-8,3,RESID PHYS/SUBSPEC 4-8,3,claude
ASSOCIATE PHYSICIAN,ASC PHYSCN,rename,high,338,0.835,2012,2011,2012,ASSOCIATE PHYSICIAN,1,ASC PHYSCN,1,claude
LECT-AY-1/10,LECT-AY,lateral,medium,336,0.419,2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,LECT-AY,1,LECT-AY,1,claude
NURSE PRACT 2,NURSE PRACT 3,promotion,high,336,0.682,2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2016,NURSE PRACT,2,NURSE PRACT,3,claude
STDT ACAD ADVISOR 3,STDT ACAD ADVISOR 3 SV,variant,high,335,0.544,2025,2025,2025,STDT ACAD ADVISOR,3,STDT ACAD ADVISOR,3,claude
RECR PRG INSTR,RECR PRG INSTR 2,promotion,high,333,0.681,2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2016,RECR PRG INSTR,1,RECR PRG INSTR,2,claude
STDT SVC ADVISOR 3,STDT SVC ADVISOR 3 SV,variant,high,322,0.44,2025,2025,2025,STDT SVC ADVISOR,3,STDT SVC ADVISOR,3,claude
ASST SPECIALIST,ASSOC SPECIALIST,promotion,high,320,0.47,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,SPECIALIST,1,SPECIALIST,2,claude
REG RESP THER PD,REG RESP THER 1,lateral,medium,320,0.649,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,REG RESP THER,1,REG RESP THER,1,claude
JR SPECIALIST,JR SPECIALIST NEX,variant,high,319,0.226,2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2016,SPECIALIST,0,SPECIALIST,0,claude
PROJECT POLICY ANL 4,PROJECT POLICY ANL 4 RP,variant,high,319,0.519,2025,2025,2025,PROJECT POLICY ANL,4,PROJECT POLICY ANL,4,claude
PROGR ANL 3,APPLICATIONS PROGR 3,other,low,315,0.199,2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2024,2012,PROGR ANL,3,APPLICATIONS PROGR,3,claude
ANL 2,ANL 3,promotion,medium,314,0.193,2013|2014|2015|2016|2017|2018|2021|2022|2025,2025,2012,ANL,2,ANL,3,claude
HOSPITAL UNIT SERV COORD III,HOSP UNIT SVC CRD 3,rename,high,313,0.972,2012,2011,2012,HOSPITAL UNIT SERV COORD,3,HOSP UNIT SVC CRD,3,claude
STAFF RESEARCH ASSOC IV,SRA 4,rename,high,312,0.884,2012,2011,2012,STAFF RESEARCH ASSOC,4,SRA,4,claude
ASC PHYSCN,HS ASST CLIN PROF-HCOMP,other,low,311,0.343,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,ASC PHYSCN,1,HS CLIN PROF-HCOMP,1,claude
"FOOD SERVICE WORKER, SR",FOOD SVC WORKER SR,rename,high,304,0.933,2012,2011,2012,FOOD SERVICE WORKER,2,FOOD SVC WORKER,2,claude
SRA 2,SRA 3,promotion,high,303,0.353,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,SRA,2,SRA,3,claude
CLIN SOCIAL WORKER 2,CLIN SOCIAL WORKER 3,promotion,high,302,0.686,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,CLIN SOCIAL WORKER,2,CLIN SOCIAL WORKER,3,claude
RESID PHYS II-VIII/REP,HS CLIN INSTR-HCOMP,other,low,297,0.154,2021|2022|2023|2024|2025,2025,2012,RESID PHYS II,8,HS CLIN PROF-HCOMP,0,claude
ADMIN ANL SR,ADMIN ANL PRN 1,other,low,296,0.131,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2025,2012,ADMIN ANL,2,ADMIN ANL PRN,1,claude
"____ASSISTANT, HOSPITAL, II",HOSP BLANK AST 2,rename,high,292,0.758,2012,2011,2012,"____ASSISTANT, HOSPITAL",2,HOSP BLANK AST,2,claude
"PARTNER, CLINICAL CARE",CLIN CARE PARTNER,rename,high,291,0.96,2012,2011,2012,"PARTNER, CLINICAL CARE",1,CLIN CARE PARTNER,1,claude
TECHNICIAN,TCHN,rename,high,288,0.86,2013,2012,2013,TECHNICIAN,1,TCHN,1,claude
STAFF PHARMACIST 2,STF PHARMACIST 2,rename,high,286,0.854,2016,2015,2016,STAFF PHARMACIST,2,STF PHARMACIST,2,claude
CLIN LAB SCI,CLIN LAB SCI SPEC,other,low,282,0.627,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,CLIN LAB SCI,1,CLIN LAB SCI SPEC,1,claude
PROGR ANL 2,PROGR ANL 3,promotion,high,270,0.249,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2025,2012,PROGR ANL,2,PROGR ANL,3,claude
